word,sentence,position,label
tablespoons,333,1,unit
peanuts ,333,2,food
chopped,333,3,aaaa
2,334,0,quantity
tablespoons,334,1,unit
coconut ,334,2,food
shredded,334,3,aaaa
4,346,0,quantity
eggs,346,1,food
2,347,0,aaaa
1,347,1,quantity
cups,347,2,unit
sugar,347,3,food
2,348,0,quantity
teaspoons,348,1,unit
vanilla,348,2,food
extract,348,3,food
3,349,0,quantity
cup,349,1,unit
butter ,349,2,food
softened,349,3,aaaa
3,350,0,quantity
cups,350,1,unit
all-purpose,350,2,food
flour,350,3,food
1,351,0,quantity
cup,351,1,unit
baking,351,2,food
cocoa,351,3,food
2,352,0,quantity
teaspoons,352,1,unit
baking,352,2,food
powder,352,3,food
1,353,0,quantity
teaspoon,353,1,unit
baking,353,2,food
soda,353,3,food
3,354,0,quantity
teaspoon,354,1,unit
salt,354,2,food
1,355,0,quantity
cup,355,1,unit
buttermilk,355,2,food
3,356,0,quantity
cups,356,1,unit
zucchini ,356,2,food
coarsely,356,3,aaaa
shredded,356,4,aaaa
and,356,5,aaaa
unpeeled,356,6,aaaa
1,357,0,quantity
cup,357,1,unit
walnuts ,357,2,food
chopped,357,3,aaaa
frosting1,358,0,food
cup,358,1,unit
butter ,358,2,food
softened,358,3,aaaa
2,359,0,quantity
lbs,359,1,unit
confectioners',359,2,food
sugar,359,3,food
1,360,0,quantity
cup,360,1,unit
baking,360,2,food
cocoa,360,3,food
1,361,0,quantity
tablespoon,361,1,unit
vanilla,361,2,food
extract,361,3,food
1,362,0,quantity
cup,362,1,unit
milk,362,2,food
3,376,0,quantity
eggs,376,1,food
1,377,0,quantity
cup,377,1,unit
vegetable,377,2,food
oil,377,3,food
2,378,0,quantity
cups,378,1,unit
sugar,378,2,food
1,379,0,quantity
tablespoon,379,1,unit
vanilla,379,2,food
extract,379,3,food
2,380,0,quantity
cups,380,1,unit
zucchini ,380,2,food
peeled ,380,3,aaaa
shredded,380,4,aaaa
 about,380,5,aaaa
1,380,6,quantity
medium ,380,7,unit
2,381,0,aaaa
1,381,1,quantity
cups,381,2,unit
all-purpose,381,3,food
flour,381,4,food
1,382,0,quantity
cup,382,1,unit
baking,382,2,food
cocoa,382,3,food
1,383,0,quantity
teaspoon,383,1,unit
salt,383,2,food
1,384,0,quantity
teaspoon,384,1,unit
baking,384,2,food
soda,384,3,food
1,385,0,quantity
teaspoon,385,1,unit
cinnamon ,385,2,food
ground,385,3,aaaa
1,386,0,quantity
teaspoon,386,1,unit
baking,386,2,food
powder,386,3,food
1,394,0,aaaa
3,394,1,quantity
cups,394,2,unit
all-purpose,394,3,food
flour,394,4,food
1,395,0,quantity
cup,395,1,unit
whole,395,2,food
wheat,395,3,food
flour,395,4,food
2,396,0,aaaa
1,396,1,quantity
teaspoons,396,2,unit
baking,396,3,food
powder,396,4,food
1,397,0,quantity
banana ,397,1,food
mashed,397,2,aaaa
and,397,3,aaaa
ripe,397,4,aaaa
 approximately,397,5,aaaa
2-Jan,397,6,aaaa
cup ,397,7,aaaa
1,398,0,quantity
cup,398,1,unit
brown,398,2,food
sugar ,398,3,food
packed,398,4,aaaa
2,399,0,quantity
eggs,399,1,food
1,400,0,quantity
cup,400,1,unit
milk,400,2,food
1,401,0,quantity
cup,401,1,unit
butter ,401,2,food
melted,401,3,aaaa
1,402,0,quantity
cup,402,1,unit
chocolate,402,2,food
chips,402,3,food
4,419,0,quantity
large,419,1,aaaa
eggs ,419,2,food
separated,419,3,aaaa
1,420,0,quantity
teaspoon,420,1,unit
vanilla,420,2,food
extract,420,3,food
3,421,0,quantity
cup,421,1,unit
sugar ,421,2,food
divided,421,3,aaaa
1,422,0,quantity
cup,422,1,unit
unbleached,422,2,food
all-purpose,422,3,food
flour,422,4,food
1,423,0,quantity
cup,423,1,unit
cornstarch,423,2,food
1,424,0,quantity
pinch,424,1,unit
salt,424,2,food
chocolate,425,0,aaaa
filling1,425,1,aaaa
1,425,2,quantity
cups,425,3,unit
cream,425,4,food
1,425,5,quantity
pound,425,6,unit
semisweet,425,7,food
chocolate,425,8,food
1,426,0,quantity
cup,426,1,unit
unsalted,426,2,food
butter,426,3,food
2,427,0,quantity
tablespoons,427,1,unit
maraschino,427,2,food
cherries,427,3,food
2,428,0,quantity
cups,428,1,unit
unsalted,428,2,food
shelled,428,3,aaaa
pistachios ,428,4,food
confectioners',428,5,aaaa
sugar,428,6,aaaa
for,428,7,aaaa
finishing,428,8,aaaa
syrup1 ,429,0,aaaa
cup,429,1,aaaa
sugar,429,2,aaaa
1,430,0,quantity
cup,430,1,unit
water,430,2,food
3,431,0,quantity
tablespoons,431,1,unit
maraschino,431,2,food
cherry,431,3,food
juice,431,4,food
1,470,0,quantity
cup,470,1,unit
butter,470,2,food
1,471,0,quantity
cup,471,1,unit
brown,471,2,food
sugar,471,3,food
1,472,0,aaaa
1,472,1,quantity
cups,472,2,unit
flour,472,3,food
1,473,0,quantity
teaspoon,473,1,unit
baking,473,2,food
powder,473,3,food
1,474,0,quantity
teaspoon,474,1,unit
vanilla,474,2,food
1,475,0,quantity
tablespoon,475,1,unit
milk,475,2,food
2,476,0,quantity
egg,476,1,food
yolks,476,2,food
1,477,0,aaaa
11,477,1,aaaa
2-Jan,477,2,aaaa
ounce ,477,3,aaaa
package,477,4,aaaa
chocolate,477,5,aaaa
chips,477,6,aaaa
2,478,0,quantity
egg,478,1,food
whites,478,2,food
1,479,0,quantity
cup,479,1,unit
brown,479,2,food
sugar,479,3,food
1,489,0,quantity
cup,489,1,unit
sugar,489,2,food
3,490,0,quantity
tablespoons,490,1,unit
tapioca,490,2,food
1,491,0,quantity
teaspoon,491,1,unit
salt,491,2,food
3,492,0,aaaa
2,492,1,quantity
cups,492,2,unit
milk,492,3,food
1,493,0,quantity
egg ,493,1,food
slightly,493,2,aaaa
beaten,493,3,aaaa
2,494,0,quantity
ounces,494,1,unit
unsweetened,494,2,food
chocolate,494,3,food
squares ,494,4,food
chopped,494,5,aaaa
2,495,0,quantity
tablespoons,495,1,unit
instant,495,2,food
coffee,495,3,food
 add,495,4,aaaa
1,495,5,aaaa
extra,495,6,aaaa
tablespoon,495,7,aaaa
if,495,8,aaaa
desired ,495,9,aaaa
1,496,0,quantity
teaspoon,496,1,unit
vanilla,496,2,food
whipped,497,0,food
topping,497,1,food
 optional ,497,2,aaaa
1,507,0,quantity
cup,507,1,unit
unsalted,507,2,food
butter ,507,3,food
softened,507,4,aaaa
1,508,0,quantity
cup,508,1,unit
powdered,508,2,food
sugar,508,3,food
1,509,0,quantity
teaspoon,509,1,unit
vanilla,509,2,food
2,510,0,quantity
cups,510,1,unit
all-purpose,510,2,food
flour,510,3,food
1,511,0,quantity
cup,511,1,unit
semisweet,511,2,food
mini,511,3,food
chocolate,511,4,food
chips ,511,5,food
divided,511,6,aaaa
