phrase,is_ingredient
"1⁄4 lb  shrimp, minced",1
"1⁄4 cup  water chestnut, minced",1
"1  teaspoon  fresh gingerroot, minced",1
"1  whole  green onion, minced",1
"3  tablespoons  soy sauce, total",1
1  tablespoon  white wine,1
1⁄2 teaspoon  salt,1
"1  teaspoon  sugar, total",1
"3  tablespoons  cornstarch, total",1
"1  egg, lightly beaten",1
2  tablespoons  oil,1
1 1⁄2 cups  chicken broth,1
1  napa cabbage,1
1  teaspoon  sesame oil,1
chinese meatballs,0
"combine pork, shrimp, water chestnuts, ginger, green onion, 1 tbsp soy sauce, wine, salt, 1/2 tsp sugar, 1 tbsp cornstarch, and egg.",0
make twelve meatballs.,0
heat oil in wok.,0
"add meatballs; cook 6-8 minutes, until browned, stirring occasionally.",0
transfer meatballs to 5-qt saucepan; discard drippings.,0
"add chicken broth, 2 tbsp soy sauce and 1/2 tsp sugar.",0
bring to a boil.,0
"reduce heat to low, cover, and simmer 30 minutes.",0
"meanwhile, core cabbage.  cut base of leaves into 2"" squares.",0
cut leafy tops in half.,0
place over meatballs; cover and simmer 10 minutes more.  transfer meatballs and cabbage to serving platter.,0
"blend 2 tbsp cornstarch and 3 tbsp water, and stir into pan juices cooking until slightly thickened.",0
add sesame oil and serve over meatballs.,0
"







                            
                                submit a correction
                            
                        





",0
"250  g  lean pork, cut into bite-size pieces (8 oz)",1
"2  onions, sliced into crescents",1
"2  potatoes, cubed small",1
"1  carrot, cubed small",1
"1  large  apple, minced",1
2  tablespoons  curry powder,1
2  tablespoons  flour,1
"3  cloves  garlic, minced",1
4  cups  stock or 4  cups  water (1 litre),1
4  tablespoons  butter,1
2  tablespoons  frying oil,1
  salt and pepper,1
310  g  rice,1
15  g  cinnamon,1
cinnamon curry rice,0
"bring cinnamon to boil in 2 cups water, simmer covered until reduced to 1 cup;  strain, discard pulp, reserve broth.",0
cook enough rice for 5 persons.,0
"heat butter in a wok, add flour and stir well to mix and thicken; then add curry powder and  stir well to mix; then add a little stock or water and mix well; return to boil, add carrot, potatoes, and apple, cover, simmer on low heat.",0
"in a separate wok or pan, stir-fry sliced pork quickly in a little oil along with garlic.",0
"remove and  reserve. when carrots and potatoes are almost done, add cinnamon broth, pork and onions to the pot, return to boil, simmer for a few minutes, then serve over  rice.",0
"







                            
                                submit a correction
                            
                        





",0
3 1⁄2 cups  all-purpose flour,1
5  teaspoons  baking powder,1
2  tablespoons  sugar,1
1  teaspoon  salt,1
"4  ounces  butter, cold",1
"3  eggs, divided",1
2  teaspoons  almond extract,1
3⁄4 cup  cream,1
1  cup  chocolate chips,1
"1⁄2 cup  almonds, sliced, toasted",1
chocolate almond scones,0
preheat oven to 425 degrees fahrenheit.,0
"combine flour, baking  powder, sugar and salt.",0
cut in  butter until it resembles course meal.,0
"add 2  eggs (1 egg is reserved for later use), almond extract and cream.",0
stir until  soft dough forms; mix in chocolate  chips and toasted almonds.,0
pat out dough until 3/4  inch thick.,0
cut into diamond shape; brush  with reserved egg.,0
place on baking  pan coated with cooking spray.,0
bake for 10  minutes until lightly browned.,0
serve warm.,0
"







                            
                                submit a correction
                            
                        





",0
1⁄2 cup  red-hot candies,1
1  cup  boiling water,1
1 (3  ounce) package lemon gelatin,1
1  cup  applesauce,1
"1 (8  ounce) package cream cheese, softened",1
1⁄2 cup  mayonnaise or 1⁄2 cup  salad dressing,1
"1⁄2 cup  pecans, chopped",1
"1⁄4 cup  celery, chopped",1
cinnamon apple salad,0
"in a bowl, dissolve candies in water (keep warm until melted).  add gelatin and stir to dissolve.  stir in the applesauce and pour half into an 9"" square pan that has been lightly coated with nonstick cooking spray.",0
refrigerate until firm.,0
"cover and set remaining gelatin mixture aside at room temperature.  meanwhile, combine remaining ingredients and spread over chilled gelatin mixture.  carefully pour remaining gelatin mixture over cream cheese layer.",0
chill overnight. yield: 9 servings this recipe was sent to reminisce magazine by lisa andis.,0
"







                            
                                submit a correction
                            
                        





",0
"5  tomatoes, divided",1
9  inches  pastry shells,1
2  cups  cheddar cheese cubes,1
1⁄2 cup  italian style breadcrumbs,1
2  tablespoons  all-purpose flour,1
1  tablespoon  sugar,1
2  teaspoons  salt,1
"1⁄2 cup  cheddar cheese, in thin strips",1
chunky tomato cheese pie,0
preheat oven to 375 degrees fahrenheit.,0
cut 4 of tomatoes into cubes; slice remaining tomato.,0
on a lightly floured surface roll out pastry; fit into a 9-inch pie pan; flute edges.,0
"in a large bowl combine tomato cubes, cheese cubes, bread crumbs, flour, sugar and salt. toss until well blended.",0
spoon into pie shell.,0
bake 30 minutes until cheese cubes melt and tomato cubes are soft.,0
remove from oven and garnish with tomato slices.,0
add cheese strips.,0
return to oven.,0
bake 10 minutes longer or until cheese is melted and tomatoes are soft.  cut into wedges and serve.,0
"







                            
                                submit a correction
                            
                        





",0
"6  slices  bread, toasted",1
50  g  butter,1
1⁄3 cup  chocolate chips,1
2  eggs,1
2  cups  milk,1
1⁄4 cup  sugar,1
1⁄4 cup  sherry wine,1
1  teaspoon  vanilla,1
chocolate bread and butter pudding,0
cut crusts from bread.,0
"butter and bread, cut into triangles and layer with chocolate in a ovenproof dish.",0
"beat eggs, milk, sugar, sherry and vanilla together and pour over the bread.",0
leave to stand for 15 minutes to fully absorb liquid.,0
heat oven to 160 c.,0
bake for 30 minutes until golden and set.  dust with icing sugar to serve. hope it tastes good.,0
"







                            
                                submit a correction
                            
                        





",0
"1 (46  ounce) can hi-c hula punch, thoroughly chilled",1
"2  pints  vanilla ice cream, softened",1
"2  cups  sprite, chilled",1
christmas snow punch,0
"in punch bowl, combine hi-c hula punch, sprite and ice cream.",0
stir until well  blended and chill.,0
from: spartan holiday cookbook robin,0
"







                            
                                submit a correction
                            
                        





",0
"2  cups  cranberries, chopped",1
3  cups  miniature marshmallows,1
3⁄4 cup  sugar,1
"2  cups  apples, chopped and unpeeled",1
1⁄2 cup  seedless grapes,1
"1⁄2 cup  walnuts, chopped (i used pecans)",1
1⁄4 teaspoon  salt,1
"1  cup  whipping cream, whipped",1
christmas cranberry salad,0
cover marshmallows and cranberries with sugar; chill overnight.,0
"add apples, grapes, walnuts, salt and whipping cream.",0
chill until ready to serve.,0
"







                            
                                submit a correction
                            
                        





",0
"3    unsweetened chocolate squares, chopped",1
2  cups  sugar,1
1  cup  brown sugar,1
1⁄8 teaspoon  salt,1
1  cup  corn syrup,1
1  cup  heavy cream,1
1  tablespoon  vanilla,1
1⁄2 cup  butter,1
"2  cups  nuts, chopped",1
chocolate caramels,0
"in a sauce pan over medim heat, add chopped chocolate, sugar, salt, syrup and cream.",0
cover and boil 5 minutes.,0
uncover.,0
"boil slowly, stirring constantly,  to firm ball stage (248 degrees fahrenheit).",0
remove from heat.,0
add flavoring and stir until  well blended.,0
pour quickly over nuts which have been placed in well-buttered  pan.,0
allow to cool; cut into squares.,0
"







                            
                                submit a correction
                            
                        





",0
"1  cup  brown sugar, packed",1
1⁄2 cup  sugar,1
1⁄2 cup  canola oil,1
2  teaspoons  vanilla,1
3    egg whites,1
1⁄4 cup  water,1
2 1⁄4 cups  flour,1
1⁄4 cup  nonfat dry milk powder,1
1  teaspoon  baking soda,1
3  tablespoons  unsweetened cocoa powder,1
4  ounces  semi-sweet chocolate chips,1
1 1⁄2 cups  raisins,1
1⁄2 cup  walnuts,1
chocolatey raisin chip cookies,0
preheat oven to 375f.,0
combine sugars and oil; mix thoroughly.,0
add vanilla and egg whites; beat well.,0
stir in water.,0
"in separate bowl, combine flour, milk, baking soda, and cocoa powder; add to wet ingredients.",0
"stir in chocolate chips, raisins, and nuts.",0
drop by heaping teaspoon onto lightly oiled cookie sheets.,0
bake 10 to 12 minutes.,0
remove from sheets immediately; cool on racks.,0
makes about 60 cookies.,0
"







                            
                                submit a correction
                            
                        





",0
  vegetable oil cooking spray,1
1 (18  ounce) package chocolate cake mix,1
1  cup  water,1
3  eggs,1
1⁄4 cup  semisweet chocolate morsel,1
1⁄4 cup  skim milk,1
3  tablespoons  unsweetened cocoa,1
"2  cups  powdered sugar, sifted",1
2 1⁄2 teaspoons  vanilla extract,1
2 1⁄2 tablespoons  powdered sugar,1
chocolate-chocolate cupcakes,0
preheat oven to 350  degrees fahrenheit.,0
spray muffin cups with cooking spray.,0
"in large bowl, combine cake mix, water, and eggs; beat with an electric mixer for 2-1/2  minutes.",0
divide batter evenly into muffin cups about two-thirds full.,0
bake 20 to 25 minutes or until toothpick inserted in centre comes out clean.,0
let cool in  pan for 10 minutes.,0
remove from pan; cool another 10 minutes.,0
gently cut  each cupcake in half horizontally - a serated knife usually works best.,0
"using a  double boiler; mix together chocolate morsels, milk, and cocoa in top; and bring water to a boil.",0
"once boiling, reduce heat to low and cook until morsels are  melted; stirring occasionally.",0
remove boiler from heat and stir in 2 cups  powdered sugar and vanilla.,0
gently spread bottom half of cupcakes with 2-3  teaspoons chocolate mixture; cover with top half of cupcake.,0
sprinkle lightly with remaining powdered sugar.,0
"







                            
                                submit a correction
                            
                        





",0
1⁄2 cup  shortening,1
1  cup  sugar,1
2  eggs,1
1  teaspoon  vanilla,1
1  teaspoon  baking soda,1
1⁄3 cup  baking cocoa,1
"1 1⁄4 cups  zucchini, pureed or blended",1
3  tablespoons  milk,1
2  cups  flour,1
"1⁄2 cup  walnuts, chopped (optional)",1
crock pot chocolate zucchini nut bread,0
"cream sugar and shortening in mixer, beat in eggs one at a time, add vanilla.  add everything else and mix thoroughly.",0
"pour into a greased crock pot bread insert.  cook 3 hours on high, or until the bread tests done with a wooden pick.",0
let stand until it's medium cool to the touch before unmolding.  serve with butter.  you can also dust the bread with powdered sugar.,0
possible modifications:  no cocoa; substitute 2 tsp cinnamon and 1 tsp nutmeg for cocoa; substitute 1 cup brown sugar for the white sugar.,0
"







                            
                                submit a correction
                            
                        





",0
2  ounces  semi-sweet chocolate chips,1
"1  cup  unsalted cashews or 1  cup  almonds, toasted blanched",1
"1⁄2 cup  butter, cut up",1
chocolate cashew spread,0
"in a small heavy saucepan, melt chocolate over low heat, stirring constantly  until chocolate begins to melt.  immediately remove the chocolate from heat;  stir until smooth.",0
cool slightly.,0
"place nuts in a food processor or blender; cover and process until nuts are  finely chopped, stopping and scraping the sides as necessary.",0
add butter;  process until nearly smooth.,0
"transfer mixture to a bowl; stir in melted  chocolate.  serve at room temperature.  use spread on croissants, muffins or  biscuits.",0
"







                            
                                submit a correction
                            
                        





",0
1⁄2 cup  raisins,1
1  tablespoon  brandy,1
"2  cups  cream cheese, softened",1
1⁄2 cup  whipping cream,1
1⁄2 teaspoon  vanilla extract,1
1⁄4 cup  dark brown sugar,1
1  teaspoon  cinnamon,1
1⁄2 cup  miniature chocolate chip,1
chocolate chip cheesecake dip,0
mix the raisins and brandy until raisins are coated and soak for 15 minutes.,0
"in another bowl, beat the cream cheese and whipping cream until well  blended and smooth.",0
"add the vanilla, mixing well.",0
blend in the brown sugar and cinnamon.,0
"mix in the drunken raisins and chocolate chips, blending well.",0
garnish with a light dusting of cinnamon.,0
serve at room temperature.,0
about 3 -3/4 cups dip.,0
"







                            
                                submit a correction
                            
                        





",0
1 (18  ounce) package refrigerated chocolate chip cookie dough,1
1⁄2 cup  raspberry preserves,1
"1⁄4 cup  m&m;', plain chocolate candy",1
"2  tablespoons  peanuts, chopped",1
"2  tablespoons  coconut, shredded",1
chocolate chip cookie pizza,0
preheat oven to 350 degrees fahrenheit.,0
"coat a nonstick 12"" pizza pan with non-stick cooking  spray.",0
"spread cookie dough out evenly in prepared pan, pressing with fingers to  flatten.",0
bake for 17 minutes or until cookie dough is lightly browned.,0
let cookie pizza cool completely in pizza pan on a wire rack.,0
to decorate:,0
"spread raspberry preserves evenly over cookie pizza to within 1"" of edge.",0
"sprinkle chocolate candy, peanuts and coconut evenly over the preserves.",0
cut into 12 pizza-shaped  slices.,0
"







                            
                                submit a correction
                            
                        





",0
4  eggs,1
2 1⁄4 cups  sugar,1
2  teaspoons  vanilla extract,1
"3⁄4 cup  butter, softened",1
3  cups  all-purpose flour,1
1⁄2 cup  baking cocoa,1
2  teaspoons  baking powder,1
1  teaspoon  baking soda,1
3⁄4 teaspoon  salt,1
1  cup  buttermilk,1
"3  cups  zucchini, coarsely shredded and unpeeled",1
"1  cup  walnuts, chopped",1
"frosting1  cup  butter, softened",1
2  lbs  confectioners' sugar,1
1⁄2 cup  baking cocoa,1
1  tablespoon  vanilla extract,1
1⁄2 cup  milk,1
chocolate zucchini cake,0
"in a large bowl, beat eggs until fluffy.",0
"add sugar gradually, beating until mixture is thick and lemon-colored.",0
beat in vanilla and butter.,0
"combine flour, cocoa, baking powder, soda and salt; add alternately with buttermilk.",0
beat until smooth.,0
fold in zucchini and walnuts.,0
divide batter into four greased and floured 8 or 9-in. round pans.,0
bake at 350 degrees fahrenheit for 25 to 30 minutes or until top springs back when gently pressed.,0
cool in pans 10 minutes; remove to wire wracks and cool completely.,0
"for frosting, beat all ingredients in a large bowl until creamy.",0
frost between layers and on sides and top of cake.,0
"







                            
                                submit a correction
                            
                        





",0
3  eggs,1
1  cup  vegetable oil,1
2  cups  sugar,1
1  tablespoon  vanilla extract,1
"2  cups  zucchini, peeled, shredded (about 1 medium)",1
2 1⁄2 cups  all-purpose flour,1
1⁄2 cup  baking cocoa,1
1  teaspoon  salt,1
1  teaspoon  baking soda,1
"1  teaspoon  cinnamon, ground",1
1⁄4 teaspoon  baking powder,1
chocolate zucchini bread,0
"in a mixing bowl, beat eggs, oil, sugar and vanilla.",0
stir in zucchini.,0
combine dry ingredients; add to zucchini mixture and mix well.,0
pour into two greased 8x4x3-inch loaf pans.,0
bake at 350°f for 1 hour or until bread tests done.  makes 2 loaves.,0
"







                            
                                submit a correction
                            
                        





",0
1 3⁄4 cups  all-purpose flour,1
1⁄2 cup  whole wheat flour,1
2 1⁄2 teaspoons  baking powder,1
"1  banana, mashed and ripe (approximately 1/2 cup)",1
"1⁄2 cup  brown sugar, packed",1
2  eggs,1
1  cup  milk,1
"1⁄3 cup  butter, melted",1
1  cup  chocolate chips,1
chocolate chip muffins,0
preheat oven to 400 degrees fahrenheit.,0
butter 12 large muffin pans well or line with  paper muffin cups.,0
"sift together all-purpose flour, whole wheat flour, and baking powder. reserve.",0
combine mashed banana with brown sugar until smooth.,0
"beat in eggs, milk and melted butter.",0
stir in dry ingredients only until blended.,0
quickly stir in chocolate chips. do not overbeat.,0
spoon mixture into prepared muffin cups. an ice cream scoop  works  well for this.,0
bake 25 minutes or until browned slightly.,0
cool on  racks.,0
"preparation time 15 minutes, cooking time 25 minutes, yield 12 large muffins.",0
"rj's note: tested recipe august 31, 1999.",0
i substituted 1/3 cup canola oil instead of butter.,0
the banana and chocolate chips give the muffin a nice flavour and it is not overly sweet.  tastes almost healthy :-).,0
"







                            
                                submit a correction
                            
                        





",0
"4  large  eggs, separated",1
1  teaspoon  vanilla extract,1
"3⁄4 cup  sugar, divided",1
1⁄2 cup  unbleached all-purpose flour,1
1⁄2 cup  cornstarch,1
1  pinch  salt,1
chocolate filling1 1⁄4 cups cream 1 pound semisweet chocolate,1
1⁄2 cup  unsalted butter,1
2  tablespoons  maraschino cherries,1
"2  cups  unsalted shelled pistachios, confectioners' sugar for finishing",1
syrup1⁄3 cup  sugar,1
1⁄3 cup  water,1
3  tablespoons  maraschino cherry juice,1
chocolate triumph of gluttony cake,0
"in a medium mixing bowl, whisk the yolks with the vanilla extract.  whisk in half the sugar and continue to beat until very light and  frothy, about 5 minutes.",0
"combine the flour and cornstarch and sift  once to aerate. in a clean, dry bowl, beat the egg whites with the  salt until they hold a very soft peak.",0
"beating faster, add the  remaining sugar in a very slow stream, beating until the egg whites  hold a firm peak.",0
fold the yolks into the whites.,0
"sift the flour and  cornstarch over the eggs in 3 additions, folding them in gradually.",0
do not over-mix the batter.,0
"pour the batter into a buttered and  paper-lined 9- or 10-inch round pan, 2-inches deep and smooth the  top.",0
"bake the pan di spagna at 350 degrees, 30 to 40 minutes,  until it is well risen and feels firm when pressed gently with the  palm of the hand.",0
immediately loosen the layer from the side of the  pan with a small knife or spatula.,0
invert the layer and leave the  paper stuck to it. turn the layer right side up and cool it on a rack.,0
double-wrap the layer in plastic and keep it in the refrigerator up to  5 days or freeze it. variations: flavor the batter with a grated  orange or lemon zest or a tablespoon of anisette.,0
"for the chocolate filling, bring the cream to a boil and remove the  heat.",0
"add finely cut chocolate, stir once and let stand for 3  minutes.",0
"whisk smooth, pour into a bowl and cool until set, several  hours at a cool room temperature.",0
set aside.,0
"for the syrup, bring  sugar and water to a boil in a small pan.",0
cool and stir in  maraschino.,0
"for the pistachios, place in a pan and cover with  water.",0
"bring to a boil, drain and rub in a towel to loosen skins.",0
go over pistachios to separate from skins.,0
place pistachios on a jelly  roll pan and dry out at 325 degrees about 5 minutes.,0
cool and  chop coarsely.,0
"to prepare the layers, cut the pan di spagna into 5  thin horizontal slices.",0
"reserve 2 of the slices, then cut the other  slices into smaller disks, each 1-inch smaller in diameter then the  reserved 2, to make a 9, 8-, and 7-inch disk.",0
reserve scraps.,0
"to  finish the filling, beat the butter by machine until soft and light, then  beat in the cooled chocolate mixture all at once. beat again until  light, then beat in the maraschino.",0
stir in half of the chopped  pistachios.,0
"to assemble, place one of the 10-inch layers on a  platter or cardboard and moisten with the syrup.",0
spread the filling.,0
continue with the remaining layers.,0
"after spreading the 7-inch layer  with the filling, form a 6-inch layer with the scraps on top of it.",0
moisten the 6-inch layer and spread the entire outside of the cake  with the filling.,0
cut a slash from the center to the edge of the  reserved 10-inch layer and cover the entire outside of the cake with  it.,0
moisten with the remaining syrup and spread with the remaining  filling.,0
press the reserved pistachios all over the outside of the  cake.,0
dust lightly with the confectioners' sugar.,0
"







                            
                                submit a correction
                            
                        





",0
1  cup  butter,1
1⁄2 cup  brown sugar,1
1 1⁄2 cups  flour,1
1  teaspoon  baking powder,1
1  teaspoon  vanilla,1
1  tablespoon  milk,1
2    egg yolks,1
1 (11 1/2 ounce) package chocolate chips,1
2    egg whites,1
1  cup  brown sugar,1
chocolate chip squares,0
"mix the butter, brown sugar, flour, baking powder, vanilla, milk, and egg yolks together until it forms a stiff dough.",0
press dough into the bottom of a 9 x 9 inch pan.,0
sprinkle chocolate chips over dough.,0
make a meringue by whipping together the egg whites and brown sugar.,0
pour meringue over dough and chocolate chips.,0
bake at 350 degrees fahrenheit for about 30 minutes.,0
notes : i usually cut down on the brown sugar in the meringue by about 1/4 of a cup. the squares are rich enough that they don't miss it. i also use margarine instead of butter.,0
"







                            
                                submit a correction
                            
                        





",0
1  cup  sugar,1
3  tablespoons  tapioca,1
1⁄8 teaspoon  salt,1
3 2⁄3 cups  milk,1
"1  egg, slightly beaten",1
"2  ounces  unsweetened chocolate squares, chopped",1
2  tablespoons  instant coffee (add 1 extra tablespoon if desired),1
1  teaspoon  vanilla,1
  whipped topping (optional),1
chocolate tapioca pudding,0
"combine sugar, tapioca, and salt in a saucepan; stir in milk and egg.",0
let stand 5  minutes.,0
add chopped chocolate squares and instant coffee.,0
"cook, stirring over medium heat, until mixture comes to a full boil and chocolate is blended, about 15 minutes.",0
remove from heat and stir in vanilla.,0
cool for 20 minutes; stir and chill.,0
serve  with whipped topping if desired.,0
"







                            
                                submit a correction
                            
                        





",0
"1  cup  unsalted butter, softened",1
1⁄2 cup  powdered sugar,1
1  teaspoon  vanilla,1
2  cups  all-purpose flour,1
"1  cup  semisweet mini chocolate chips, divided",1
1 1⁄2 teaspoons  oil,1
chocolate chip shortbread,0
"cream butter, sugar, and vanilla until blended.",0
"on low speed, beat in flour.",0
stir in 1/2 cup chocolate chips.,0
"cover and chill until firm, but not too firm.",0
"shape heaping tablespoonfuls into 3"" long x 1/2"" thick logs.",0
place cookies on lightly greased cookie sheets.,0
bake in 350 degree fahreneheit oven for 8 minutes or until golden brown.,0
cool.,0
melt remaining 1/2 cup chocolate chips and oil.,0
"dip 3/4"" of one end of  each cookie into the melted chocolate.",0
place cookies on a wire rack to set.,0
"







                            
                                submit a correction
                            
                        





",0
1 1⁄4 cups  all-purpose flour,1
1⁄4 teaspoon  baking soda,1
1⁄8 teaspoon  salt,1
"14  ounces  semisweet chocolate, finely chopped",1
1  cup  granulated sugar,1
"9  tablespoons  unsalted butter, cut in small pieces",1
1⁄4 cup  light corn syrup,1
1⁄4 cup  water,1
"3  large  eggs, chilled, divided",1
1  tablespoon  vanilla extract,1
"1 1⁄2 cups  walnuts, coarsely chopped",1
"9  ounces  swiss dark chocolate, chopped",1
chocolate chunk and walnut brownies,0
preheat oven to 325 degrees fahrenheit.,0
"line a 13 by 9-1/2 inch baking pan with two layers of aluminum foil, allowing an overhang on each end. grease the foil with butter.",0
"stir together the flour, baking soda, baking powder and salt.",0
place the chopped semi-sweet chocolate in a larger bowl.,0
"in a saucepan, heat the granulated sugar, unsalted butter, corn syrup and water until the butter melts and the sugar is dissolved.",0
remove the pan from the heat once it reaches a boil.,0
"pour the hot syrup over the semi-sweet chocolate, allowing it to stand momentarily. stir until smooth.",0
whisk the eggs in one at  a time.,0
whisk in the vanilla and the flour mixture until smooth.,0
fold in the walnuts and the chopped swiss chocolate.,0
scrape the batter into the prepared pan.,0
"bake for 50 minutes to 1 hour, or until a cake tester comes out clean.",0
cool the brownies in the pan on a wire rack for at least 6 hours.,0
carefully invert the brownies onto a large cutting board or platter and peel off the foil.,0
invert the brownies again and cut into 24 squares.,0
"







                            
                                submit a correction
                            
                        





",0
2 1⁄2 cups  instant nonfat dry milk powder,1
5  cups  sugar,1
3  cups  cornstarch,1
1  teaspoon  salt,1
2 1⁄2 cups  unsweetened cocoa,1
to use2⁄3 cup  chocolate pudding mix,1
2  cups  milk,1
1  teaspoon  vanilla,1
1  tablespoon  butter,1
chocolate pudding,0
"mix the dry milk powder, sugar, cornstarch, salt, and cocoa together until well blended.",0
it can be stored in a big airtight container or glass jar until you need it.,0
"to use, stir mix before using to redistribute ingredients.",0
measure out 2/3 cup of the pudding mix into a medium saucepan.,0
"add milk, vanilla and butter and cook over low heat, stirring constantly until mixture comes to a boil.",0
continue cooking and stirring for another minute.,0
remove from heat and let cool.,0
"







                            
                                submit a correction
                            
                        





",0
4  ounces  semisweet chocolate,1
2  cups  half-and-half,1
4  cups hot brewed coffee,1
3⁄4 cup  coffee liqueur,1
  sweetened whipped cream,1
chocolate coffee,0
bring chocolate and half and half to a boil in a large saucepan over medium heat stirring constantly; stir in coffee.,0
remove from heat; stir in liqueur.,0
serve  with sweetened whipped cream.,0
"







                            
                                submit a correction
                            
                        





",0
1  cup  sugar,1
1⁄4 cup  cornstarch,1
1⁄2 teaspoon  salt,1
2 1⁄2 cups  milk,1
"3    egg yolks, well beaten",1
2  ounces  baking chocolate,1
1  tablespoon  butter,1
1  teaspoon  vanilla,1
chocolate pudding ii,0
"combine sugar, cornstarch, and salt in medium saucepan; gradually stir in milk  and egg yolks.",0
"add baking chocolate, broken into pieces; cook and stir over  medium heat until mixture boils.",0
boil and stir for 1 minute; remove from heat.  add butter and vanilla; pour into individual serving dishes.,0
chill.,0
serve with whipped cream.,0
"







                            
                                submit a correction
                            
                        





",0
1⁄2 cup  vegetable oil,1
"4  ounces  unsweetened chocolate, melted",1
2  cups  sugar,1
4  eggs,1
2  teaspoons  vanilla,1
1⁄2 teaspoon  salt,1
2  cups  flour,1
2  teaspoons  baking powder,1
1  cup  powdered sugar,1
chocolate crinkle cookies,0
"mix oil, chocolate, sugar; blend in eggs.",0
"add vanilla, salt, baking powder and flour.",0
cover and chill several hours or overnight.,0
preheat oven to 350f and grease your cookie sheets.,0
roll 1 tbsp dough into a ball and roll around in powdered sugar to coat.,0
place on greased cookie sheet and bake for 10 to 12  minutes.,0
remove from baking sheet and cool.,0
"







                            
                                submit a correction
                            
                        





",0
1  cup  water,1
1⁄2 cup  unsalted butter,1
2  tablespoons  sugar,1
1⁄4 teaspoon  salt,1
1  cup  flour,1
1  tablespoon  unsweetened cocoa powder,1
5  eggs,1
"1  quart  ice cream, choice",1
chocolate cream puffs,0
"combine water, butter, sugar and salt in a medium size saucepan.",0
place over  medium low heat to melt butter.,0
add flour and cocoa powder all at once; stir  vigorously until mixture pulls away from side of pan.,0
remove from heat. heat  oven to 400.,0
lightly coat baking sheet with cooking spray.,0
"with the saucepan  off heat, add eggs one at a time, to batter in saucepan, beating well after each addition.",0
