word,sentence,position,label
red-hot,146,2,food
candies,146,3,food
1,147,0,amount
cup,147,1,unit
boiling,147,2,0
water,147,3,food
3,148,1,amount
ounce ,148,2,unit
package,148,3,0
lemon,148,4,food
gelatin,148,5,food
1,149,0,amount
cup,149,1,unit
applesauce,149,2,food
8,150,1,amount
ounce ,150,2,unit
package,150,3,0
cream,150,4,food
cheese ,150,5,food
softened,150,6,0
1,151,0,amount
cup,151,1,unit
mayonnaise,151,2,food
or,151,3,0
1,151,4,amount
cup,151,5,unit
salad,151,6,food
dressing,151,7,food
1,152,0,amount
cup,152,1,unit
pecans ,152,2,food
chopped,152,3,0
1,153,0,amount
cup,153,1,unit
celery ,153,2,food
chopped,153,3,0
5,160,0,amount
tomatoes ,160,1,unit
divided,160,2,0
9,161,0,amount
inches,161,1,unit
pastry,161,2,food
shells,161,3,food
2,162,0,amount
cups,162,1,unit
cheddar,162,2,food
cheese,162,3,food
cubes,162,4,0
1,163,0,amount
cup,163,1,unit
italian,163,2,0
style,163,3,0
breadcrumbs,163,4,food
2,164,0,amount
tablespoons,164,1,unit
all-purpose,164,2,food
flour,164,3,food
1,165,0,amount
tablespoon,165,1,unit
sugar,165,2,food
2,166,0,amount
teaspoons,166,1,unit
salt,166,2,food
1,167,0,amount
cup,167,1,unit
cheddar,167,2,food
cheese ,167,3,food
in,167,4,0
thin,167,5,0
strips,167,6,0
6,180,0,amount
slices,180,1,unit
bread ,180,2,food
toasted,180,3,0
50,181,0,amount
g,181,1,unit
butter,181,2,food
1,182,0,amount
cup,182,1,unit
chocolate,182,2,food
chips,182,3,food
2,183,0,amount
eggs,183,1,food
2,184,0,amount
cups,184,1,unit
milk,184,2,food
1,185,0,amount
cup,185,1,unit
sugar,185,2,food
1,186,0,amount
cup,186,1,unit
sherry,186,2,food
wine,186,3,food
1,187,0,amount
teaspoon,187,1,unit
vanilla,187,2,food
46,196,1,amount
ounce ,196,2,unit
can,196,3,0
hi-c,196,4,food
hula,196,5,food
punch ,196,6,food
thoroughly,196,7,0
chilled,196,8,0
2,197,0,amount
pints,197,1,unit
vanilla,197,2,food
ice,197,3,food
cream ,197,4,food
softened,197,5,0
2,198,0,amount
cups,198,1,unit
sprite ,198,2,food
chilled,198,3,0
2,204,0,amount
cups,204,1,unit
cranberries ,204,2,food
chopped,204,3,0
3,205,0,amount
cups,205,1,unit
miniature,205,2,food
marshmallows,205,3,food
3,206,0,amount
cup,206,1,unit
sugar,206,2,food
2,207,0,amount
cups,207,1,unit
apples ,207,2,food
chopped,207,3,0
and,207,4,0
unpeeled,207,5,food
1,208,0,amount
cup,208,1,unit
seedless,208,2,food
grapes,208,3,food
1,209,0,amount
cup,209,1,unit
walnuts ,209,2,food
chopped,209,3,0
 i,209,4,0
used,209,5,0
pecans ,209,6,0
1,210,0,amount
teaspoon,210,1,unit
salt,210,2,food
1,211,0,amount
cup,211,1,unit
whipping,211,2,food
cream ,211,3,food
whipped,211,4,0
3,217,0,amount
unsweetened,217,1,food
chocolate,217,2,food
squares ,217,3,unit
chopped,217,4,0
2,218,0,amount
cups,218,1,unit
sugar,218,2,food
1,219,0,amount
cup,219,1,unit
brown,219,2,food
sugar,219,3,food
1,220,0,amount
teaspoon,220,1,unit
salt,220,2,food
1,221,0,amount
cup,221,1,unit
corn,221,2,food
syrup,221,3,food
1,222,0,amount
cup,222,1,unit
heavy,222,2,food
cream,222,3,food
1,223,0,amount
tablespoon,223,1,unit
vanilla,223,2,food
1,224,0,amount
cup,224,1,unit
butter,224,2,food
2,225,0,amount
cups,225,1,unit
nuts ,225,2,food
chopped,225,3,0
1,236,0,amount
cup,236,1,unit
brown,236,2,food
sugar ,236,3,food
packed,236,4,0
1,237,0,amount
cup,237,1,unit
sugar,237,2,food
1,238,0,amount
cup,238,1,unit
canola,238,2,food
oil,238,3,food
2,239,0,amount
teaspoons,239,1,unit
vanilla,239,2,food
3,240,0,amount
egg,240,1,food
whites,240,2,food
1,241,0,amount
cup,241,1,unit
water,241,2,food
2,242,0,0
1,242,1,amount
cups,242,2,unit
flour,242,3,food
1,243,0,amount
cup,243,1,unit
nonfat,243,2,food
dry,243,3,food
milk,243,4,food
powder,243,5,food
1,244,0,amount
teaspoon,244,1,unit
baking,244,2,food
soda,244,3,food
3,245,0,amount
tablespoons,245,1,unit
unsweetened,245,2,food
cocoa,245,3,food
powder,245,4,food
4,246,0,amount
ounces,246,1,unit
semi-sweet,246,2,food
chocolate,246,3,food
chips,246,4,food
1,247,0,0
1,247,1,amount
cups,247,2,unit
raisins,247,3,food
1,248,0,amount
cup,248,1,unit
walnuts,248,2,food
vegetable,261,0,food
oil,261,1,food
cooking,261,2,food
spray,261,3,food
1,262,0,0
18,262,1,amount
ounce ,262,2,unit
package,262,3,0
chocolate,262,4,food
cake,262,5,food
mix,262,6,food
1,263,0,amount
cup,263,1,unit
water,263,2,food
3,264,0,amount
eggs,264,1,food
1,265,0,amount
cup,265,1,unit
semisweet,265,2,food
chocolate,265,3,food
morsel,265,4,food
1,266,0,amount
cup,266,1,unit
skim,266,2,food
milk,266,3,food
3,267,0,amount
tablespoons,267,1,unit
unsweetened,267,2,food
cocoa,267,3,food
2,268,0,amount
cups,268,1,unit
powdered,268,2,food
sugar ,268,3,food
sifted,268,4,0
2,269,0,0
1,269,1,amount
teaspoons,269,2,unit
vanilla,269,3,food
extract,269,4,food
2,270,0,0
1,270,1,amount
tablespoons,270,2,unit
powdered,270,3,food
sugar,270,4,food
1,286,0,amount
cup,286,1,unit
shortening,286,2,food
1,287,0,amount
cup,287,1,unit
sugar,287,2,food
2,288,0,amount
eggs,288,1,food
1,289,0,amount
teaspoon,289,1,unit
vanilla,289,2,food
1,290,0,amount
teaspoon,290,1,unit
baking,290,2,food
soda,290,3,food
1,291,0,amount
cup,291,1,unit
baking,291,2,food
cocoa,291,3,food
1,292,0,0
1,292,1,amount
cups,292,2,unit
zucchini ,292,3,food
pureed,292,4,0
or,292,5,0
blended,292,6,0
3,293,0,amount
tablespoons,293,1,unit
milk,293,2,food
2,294,0,amount
cups,294,1,unit
flour,294,2,food
1,295,0,amount
cup,295,1,unit
walnuts ,295,2,food
chopped,295,3,0
 optional ,295,4,0
2,302,0,amount
ounces,302,1,unit
semi-sweet,302,2,food
chocolate,302,3,food
chips,302,4,food
1,303,0,amount
cup,303,1,unit
unsalted,303,2,food
cashews,303,3,food
or,303,4,0
1,303,5,amount
cup,303,6,unit
almonds ,303,7,food
toasted,303,8,0
blanched,303,9,0
1,304,0,amount
cup,304,1,unit
butter ,304,2,food
cut,304,3,0
up,304,4,0
1,312,0,amount
cup,312,1,unit
raisins,312,2,food
1,313,0,amount
tablespoon,313,1,unit
brandy,313,2,food
2,314,0,amount
cups,314,1,unit
cream,314,2,food
cheese ,314,3,food
softened,314,4,0
1,315,0,amount
cup,315,1,unit
whipping,315,2,food
cream,315,3,food
1,316,0,amount
teaspoon,316,1,unit
vanilla,316,2,food
extract,316,3,food
1,317,0,amount
cup,317,1,unit
dark,317,2,0
brown,317,3,food
sugar,317,4,food
1,318,0,amount
teaspoon,318,1,unit
cinnamon,318,2,food
1,319,0,amount
cup,319,1,unit
miniature,319,2,food
chocolate,319,3,food
chip,319,4,food
1,330,0,0
18,330,1,amount
ounce ,330,2,unit
package,330,3,0
refrigerated,330,4,food
chocolate,330,5,food
chip,330,6,food
cookie,330,7,food
dough,330,8,food
1,331,0,amount
cup,331,1,unit
raspberry,331,2,food
preserves,331,3,food
1,332,0,amount
cup,332,1,unit
m&m;' ,332,2,food
plain,332,3,0
chocolate,332,4,0
candy,332,5,0
2,333,0,amount
tablespoons,333,1,unit
peanuts ,333,2,food
chopped,333,3,0
2,334,0,amount
tablespoons,334,1,unit
coconut ,334,2,food
shredded,334,3,0
4,346,0,amount
eggs,346,1,food
2,347,0,0
1,347,1,amount
cups,347,2,unit
sugar,347,3,food
2,348,0,amount
teaspoons,348,1,unit
vanilla,348,2,food
extract,348,3,food
3,349,0,amount
cup,349,1,unit
butter ,349,2,food
softened,349,3,0
3,350,0,amount
cups,350,1,unit
all-purpose,350,2,food
flour,350,3,food
1,351,0,amount
cup,351,1,unit
baking,351,2,food
cocoa,351,3,food
2,352,0,amount
teaspoons,352,1,unit
baking,352,2,food
powder,352,3,food
1,353,0,amount
teaspoon,353,1,unit
baking,353,2,food
soda,353,3,food
3,354,0,amount
teaspoon,354,1,unit
salt,354,2,food
1,355,0,amount
cup,355,1,unit
buttermilk,355,2,food
3,356,0,amount
cups,356,1,unit
zucchini ,356,2,food
coarsely,356,3,0
shredded,356,4,0
and,356,5,0
unpeeled,356,6,0
1,357,0,amount
cup,357,1,unit
walnuts ,357,2,food
chopped,357,3,0
frosting1,358,0,food
cup,358,1,unit
butter ,358,2,food
softened,358,3,0
2,359,0,amount
lbs,359,1,unit
confectioners',359,2,food
sugar,359,3,food
1,360,0,amount
cup,360,1,unit
baking,360,2,food
cocoa,360,3,food
1,361,0,amount
tablespoon,361,1,unit
vanilla,361,2,food
extract,361,3,food
1,362,0,amount
cup,362,1,unit
milk,362,2,food
3,376,0,amount
eggs,376,1,food
1,377,0,amount
cup,377,1,unit
vegetable,377,2,food
oil,377,3,food
2,378,0,amount
cups,378,1,unit
sugar,378,2,food
1,379,0,amount
tablespoon,379,1,unit
vanilla,379,2,food
extract,379,3,food
2,380,0,amount
cups,380,1,unit
zucchini ,380,2,food
peeled ,380,3,0
shredded,380,4,0
 about,380,5,0
1,380,6,amount
medium ,380,7,unit
2,381,0,0
1,381,1,amount
cups,381,2,unit
all-purpose,381,3,food
flour,381,4,food
1,382,0,amount
cup,382,1,unit
baking,382,2,food
cocoa,382,3,food
1,383,0,amount
teaspoon,383,1,unit
salt,383,2,food
1,384,0,amount
teaspoon,384,1,unit
baking,384,2,food
soda,384,3,food
1,385,0,amount
teaspoon,385,1,unit
cinnamon ,385,2,food
ground,385,3,0
1,386,0,amount
teaspoon,386,1,unit
baking,386,2,food
powder,386,3,food
1,394,0,0
3,394,1,amount
cups,394,2,unit
all-purpose,394,3,food
flour,394,4,food
1,395,0,amount
cup,395,1,unit
whole,395,2,food
wheat,395,3,food
flour,395,4,food
2,396,0,0
1,396,1,amount
teaspoons,396,2,unit
baking,396,3,food
powder,396,4,food
1,397,0,amount
banana ,397,1,food
mashed,397,2,0
and,397,3,0
ripe,397,4,0
 approximately,397,5,0
2-Jan,397,6,0
cup ,397,7,0
1,398,0,amount
cup,398,1,unit
brown,398,2,food
sugar ,398,3,food
packed,398,4,0
2,399,0,amount
eggs,399,1,food
1,400,0,amount
cup,400,1,unit
milk,400,2,food
1,401,0,amount
cup,401,1,unit
butter ,401,2,food
melted,401,3,0
1,402,0,amount
cup,402,1,unit
chocolate,402,2,food
chips,402,3,food
4,419,0,amount
large,419,1,0
eggs ,419,2,food
separated,419,3,0
1,420,0,amount
teaspoon,420,1,unit
vanilla,420,2,food
extract,420,3,food
3,421,0,amount
cup,421,1,unit
sugar ,421,2,food
divided,421,3,0
1,422,0,amount
cup,422,1,unit
unbleached,422,2,food
all-purpose,422,3,food
flour,422,4,food
1,423,0,amount
cup,423,1,unit
cornstarch,423,2,food
1,424,0,amount
pinch,424,1,unit
salt,424,2,food
chocolate,425,0,0
filling1,425,1,0
1,425,2,amount
cups,425,3,unit
cream,425,4,food
1,425,5,amount
pound,425,6,unit
semisweet,425,7,food
chocolate,425,8,food
1,426,0,amount
cup,426,1,unit
unsalted,426,2,food
butter,426,3,food
2,427,0,amount
tablespoons,427,1,unit
maraschino,427,2,food
cherries,427,3,food
2,428,0,amount
cups,428,1,unit
unsalted,428,2,food
shelled,428,3,0
pistachios ,428,4,food
confectioners',428,5,0
sugar,428,6,0
for,428,7,0
finishing,428,8,0
syrup1 ,429,0,0
cup,429,1,0
sugar,429,2,0
1,430,0,amount
cup,430,1,unit
water,430,2,food
3,431,0,amount
tablespoons,431,1,unit
maraschino,431,2,food
cherry,431,3,food
juice,431,4,food
1,470,0,amount
cup,470,1,unit
butter,470,2,food
1,471,0,amount
cup,471,1,unit
brown,471,2,food
sugar,471,3,food
1,472,0,0
1,472,1,amount
cups,472,2,unit
flour,472,3,food
1,473,0,amount
teaspoon,473,1,unit
baking,473,2,food
powder,473,3,food
1,474,0,amount
teaspoon,474,1,unit
vanilla,474,2,food
1,475,0,amount
tablespoon,475,1,unit
milk,475,2,food
2,476,0,amount
egg,476,1,food
yolks,476,2,food
1,477,0,0
11,477,1,0
2-Jan,477,2,0
ounce ,477,3,0
package,477,4,0
chocolate,477,5,0
chips,477,6,0
2,478,0,amount
egg,478,1,food
whites,478,2,food
1,479,0,amount
cup,479,1,unit
brown,479,2,food
sugar,479,3,food
1,489,0,amount
cup,489,1,unit
sugar,489,2,food
3,490,0,amount
tablespoons,490,1,unit
tapioca,490,2,food
1,491,0,amount
teaspoon,491,1,unit
salt,491,2,food
3,492,0,0
2,492,1,amount
cups,492,2,unit
milk,492,3,food
1,493,0,amount
egg ,493,1,food
slightly,493,2,0
beaten,493,3,0
2,494,0,amount
ounces,494,1,unit
unsweetened,494,2,food
chocolate,494,3,food
squares ,494,4,food
chopped,494,5,0
2,495,0,amount
tablespoons,495,1,unit
instant,495,2,food
coffee,495,3,food
 add,495,4,0
1,495,5,0
extra,495,6,0
tablespoon,495,7,0
if,495,8,0
desired ,495,9,0
1,496,0,amount
teaspoon,496,1,unit
vanilla,496,2,food
whipped,497,0,food
topping,497,1,food
 optional ,497,2,0
1,507,0,amount
cup,507,1,unit
unsalted,507,2,food
butter ,507,3,food
softened,507,4,0
1,508,0,amount
cup,508,1,unit
powdered,508,2,food
sugar,508,3,food
1,509,0,amount
teaspoon,509,1,unit
vanilla,509,2,food
2,510,0,amount
cups,510,1,unit
all-purpose,510,2,food
flour,510,3,food
1,511,0,amount
cup,511,1,unit
semisweet,511,2,food
mini,511,3,food
chocolate,511,4,food
chips ,511,5,food
divided,511,6,0
1,512,0,0
1,512,1,0
teaspoons,512,2,0
oil,512,3,0
1,526,0,0
1,526,1,0
cups,526,2,0
all-purpose,526,3,0
flour,526,4,0
1,527,0,0
teaspoon,527,1,0
baking,527,2,0
soda,527,3,0
1,528,0,0
teaspoon,528,1,0
salt,528,2,0
14,529,0,0
ounces,529,1,0
semisweet,529,2,0
chocolate ,529,3,0
finely,529,4,0
chopped,529,5,0
1,530,0,0
cup,530,1,0
granulated,530,2,0
sugar,530,3,0
9,531,0,0
tablespoons,531,1,0
unsalted,531,2,0
butter ,531,3,0
cut,531,4,0
in,531,5,0
small,531,6,0
pieces,531,7,0
1,532,0,0
cup,532,1,0
light,532,2,0
corn,532,3,0
syrup,532,4,0
1,533,0,0
cup,533,1,0
water,533,2,0
3,534,0,0
large,534,1,0
eggs ,534,2,0
chilled ,534,3,0
divided,534,4,0
1,535,0,0
tablespoon,535,1,0
vanilla,535,2,0
extract,535,3,0
1,536,0,0
1,536,1,0
cups,536,2,0
walnuts ,536,3,0
coarsely,536,4,0
chopped,536,5,0
9,537,0,0
ounces,537,1,0
swiss,537,2,0
dark,537,3,0
chocolate ,537,4,0
chopped,537,5,0
2,555,0,0
1,555,1,0
cups,555,2,0
instant,555,3,0
nonfat,555,4,0
dry,555,5,0
milk,555,6,0
powder,555,7,0
5,556,0,0
cups,556,1,0
sugar,556,2,0
3,557,0,0
cups,557,1,0
cornstarch,557,2,0
1,558,0,0
teaspoon,558,1,0
salt,558,2,0
2,559,0,0
1,559,1,0
cups,559,2,0
unsweetened,559,3,0
cocoa,559,4,0
to,560,0,0
use2 ,560,1,0
cup,560,2,0
chocolate,560,3,0
pudding,560,4,0
mix,560,5,0
2,561,0,0
cups,561,1,0
milk,561,2,0
1,562,0,0
teaspoon,562,1,0
vanilla,562,2,0
1,563,0,0
tablespoon,563,1,0
butter,563,2,0
4,573,0,0
ounces,573,1,0
semisweet,573,2,0
chocolate,573,3,0
2,574,0,0
cups,574,1,0
half-and-half,574,2,0
4,575,0,0
cups,575,1,0
hot,575,2,0
brewed,575,3,0
coffee,575,4,0
3,576,0,0
cup,576,1,0
coffee,576,2,0
liqueur,576,3,0
sweetened,577,0,0
whipped,577,1,0
cream,577,2,0
1,583,0,0
cup,583,1,0
sugar,583,2,0
1,584,0,0
cup,584,1,0
cornstarch,584,2,0
1,585,0,0
teaspoon,585,1,0
salt,585,2,0
2,586,0,0
1,586,1,0
cups,586,2,0
milk,586,3,0
3,587,0,0
egg,587,1,0
yolks ,587,2,0
well,587,3,0
beaten,587,4,0
2,588,0,0
ounces,588,1,0
baking,588,2,0
chocolate,588,3,0
1,589,0,0
tablespoon,589,1,0
butter,589,2,0
1,590,0,0
teaspoon,590,1,0
vanilla,590,2,0
1,598,0,0
cup,598,1,0
vegetable,598,2,0
oil,598,3,0
4,599,0,0
ounces,599,1,0
unsweetened,599,2,0
chocolate ,599,3,0
melted,599,4,0
2,600,0,0
cups,600,1,0
sugar,600,2,0
4,601,0,0
eggs,601,1,0
2,602,0,0
teaspoons,602,1,0
vanilla,602,2,0
1,603,0,0
teaspoon,603,1,0
salt,603,2,0
2,604,0,0
cups,604,1,0
flour,604,2,0
2,605,0,0
teaspoons,605,1,0
baking,605,2,0
powder,605,3,0
1,606,0,0
cup,606,1,0
powdered,606,2,0
sugar,606,3,0
1,616,0,0
cup,616,1,0
water,616,2,0
1,617,0,0
cup,617,1,0
unsalted,617,2,0
butter,617,3,0
2,618,0,0
tablespoons,618,1,0
sugar,618,2,0
1,619,0,0
teaspoon,619,1,0
salt,619,2,0
1,620,0,0
cup,620,1,0
flour,620,2,0
1,621,0,0
tablespoon,621,1,0
unsweetened,621,2,0
cocoa,621,3,0
powder,621,4,0
5,622,0,0
eggs,622,1,0
1,623,0,0
quart,623,1,0
ice,623,2,0
cream ,623,3,0
choice,623,4,0
1,643,0,0
pie,643,1,0
shell ,643,2,0
pre-baked,643,3,0
filling1,644,0,0
cup,644,1,0
sugar,644,2,0
1,645,0,0
cup,645,1,0
all-purpose,645,2,0
flour,645,3,0
6,646,0,0
tablespoons,646,1,0
unsweetened,646,2,0
cocoa,646,3,0
powder,646,4,0
1,647,0,0
teaspoon,647,1,0
salt,647,2,0
2,648,0,0
cups,648,1,0
milk,648,2,0
3,649,0,0
egg,649,1,0
yolks ,649,2,0
slightly,649,3,0
beaten,649,4,0
1,650,0,0
cup,650,1,0
butter,650,2,0
or,650,3,0
1,650,4,0
cup,650,5,0
margarine,650,6,0
2,651,0,0
teaspoons,651,1,0
vanilla,651,2,0
meringue,652,0,0
topping4,652,1,0
egg,652,2,0
whites,652,3,0
1,653,0,0
teaspoon,653,1,0
cream,653,2,0
of,653,3,0
tartar,653,4,0
6,654,0,0
tablespoons,654,1,0
sugar,654,2,0
1,672,0,0
package,672,1,0
white,672,2,0
frosting,672,3,0
mix,672,4,0
5,673,0,0
tablespoons,673,1,0
butter ,673,2,0
softened,673,3,0
3,674,0,0
tablespoons,674,1,0
flour,674,2,0
2,675,0,0
tablespoons,675,1,0
water ,675,2,0
hot,675,3,0
1,676,0,0
cup,676,1,0
candied,676,2,0
fruit ,676,3,0
chopped,676,4,0
1,677,0,0
cup,677,1,0
nuts ,677,2,0
chopped,677,3,0
 optional ,677,4,0
to,678,0,0
taste,678,1,0
chocolate,678,2,0
fudge,678,3,0
frosting,678,4,0
mix,678,5,0
1,687,0,0
german,687,1,0
chocolate,687,2,0
square,687,3,0
1,688,0,0
cup,688,1,0
milk,688,2,0
3,689,0,0
ounces,689,1,0
cream,689,2,0
cheese,689,3,0
3,690,0,0
tablespoons,690,1,0
sugar,690,2,0
1,691,0,0
8,691,1,0
ounce ,691,2,0
carton,691,3,0
cool,691,4,0
whip,691,5,0
1,692,0,0
prepared,692,1,0
graham,692,2,0
cracker,692,3,0
pie,692,4,0
crust,692,5,0
8,699,0,0
ounces,699,1,0
chestnut,699,2,0
puree,699,3,0
10,700,0,0
ounces,700,1,0
heavy,700,2,0
cream,700,3,0
1,701,0,0
teaspoon,701,1,0
cinnamon,701,2,0
1,702,0,0
1,702,1,0
ounces,702,2,0
chocolate,702,3,0
or,702,4,0
1,702,5,0
1,702,6,0
ounces,702,7,0
dark,702,8,0
unsweetened,702,9,0
chocolate,702,10,0
chips ,702,11,0
chopped,702,12,0
2,703,0,0
ounces,703,1,0
sugar,703,2,0
1,713,0,0
chicken,713,1,0
1,714,0,0
ounce,714,1,0
unsalted,714,2,0
butter,714,3,0
2,715,0,0
large,715,1,0
onions,715,2,0
1,716,0,0
teaspoon,716,1,0
salt,716,2,0
3,717,0,0
cup,717,1,0
flour,717,2,0
2,718,0,0
teaspoons,718,1,0
curry,718,2,0
powder,718,3,0
1,719,0,0
teaspoon,719,1,0
ginger ,719,2,0
ground,719,3,0
black,720,0,0
pepper,720,1,0
4,721,0,0
cups,721,1,0
chicken,721,2,0
stock,721,3,0
 made,721,4,0
previous,721,5,0
day ,721,6,0
1,743,0,0
kg,743,1,0
chicken,743,2,0
giblets,743,3,0
 or,743,4,0
livers ,743,5,0
20,744,0,0
ml,744,1,0
olive,744,2,0
oil,744,3,0
2,745,0,0
ml,745,1,0
cumin ,745,2,0
ground,745,3,0
1,746,0,0
ml,746,1,0
clove ,746,2,0
ground,746,3,0
5,747,0,0
ml,747,1,0
paprika,747,2,0
1,748,0,0
bay,748,1,0
leaf,748,2,0
salt,749,0,0
&,749,1,0
pepper,749,2,0
piri-piri ,750,0,0
whole,750,1,0
or,750,2,0
ground,750,3,0
2,751,0,0
onions ,751,1,0
chopped,751,2,0
2,752,0,0
cloves,752,1,0
garlic ,752,2,0
crushed,752,3,0
100,753,0,0
ml,753,1,0
white,753,2,0
wine,753,3,0
2,761,0,0
tablespoons,761,1,0
vegetable,761,2,0
oil ,761,3,0
divided,761,4,0
8,762,0,0
ounces,762,1,0
boneless,762,2,0
skinless,762,3,0
chicken,762,4,0
breasts ,762,5,0
sliced,762,6,0
